类型,问题,正确答案,prompt
常识,下列哪款洗面奶不适合你的敏感肌姐妹使用？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪款洗面奶不适合你的敏感肌姐妹使用？
A. 珂润洁面泡沫
B. Elta MD洗面奶
C. 芙丽芳丝洁面乳
D. Whitening 洗面奶
答案："
常识,下列哪项是基本护肤的正确步骤？,C,"以下是单项选择题，请选出其中的正确答案。

下列哪项是基本护肤的正确步骤？
A. 洁面-化妆水-精华-乳液-眼霜-面霜
B. 洁面-化妆水-乳液-精华-眼霜-面霜
C. 洁面-化妆水-眼霜-精华-乳液-面霜
D. 洁面-化妆水-乳液-眼霜-精华-面霜
答案："
常识,炎炎夏日，干皮姐妹会更偏爱下列哪一款化妆水？,C,"以下是单项选择题，请选出其中的正确答案。

炎炎夏日，干皮姐妹会更偏爱下列哪一款化妆水？
A. 科颜氏金盏花爽肤水
B. 悦木之源菌菇水
C. 兰蔻大粉水
D. 黛珂紫苏化妆水
答案："
常识,20岁出头的你，该用下列哪一款面霜比较合适？,A,"以下是单项选择题，请选出其中的正确答案。

20岁出头的你，该用下列哪一款面霜比较合适？
A. OLAY大红瓶面霜
B. FAB急护霜
C. 珂润面霜
D. 大宝SOD蜜
答案："
常识,下列哪一款护肤产品添加了水杨酸成分？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪一款护肤产品添加了水杨酸成分？
A. The ordinary乳液
B. 修丽可焕活复颜精华
C. 达尔肤温和版精华
D. 宝拉珍选精华液
答案："
常识,烟酰胺称得上是美白界的“万金油”，那么下列哪款产品不含烟酰胺？,D,"以下是单项选择题，请选出其中的正确答案。

烟酰胺称得上是美白界的“万金油”，那么下列哪款产品不含烟酰胺？
A. OLAY光感小白瓶
B. SK2小灯泡精华
C. 修丽可发光瓶
D. 雅顿金胶精华
答案："
常识,小文的脸经常泛红，发痒，脸颊上还有红血丝，一不小心就容易过敏，她属于哪种肤质呢？,D,"以下是单项选择题，请选出其中的正确答案。

小文的脸经常泛红，发痒，脸颊上还有红血丝，一不小心就容易过敏，她属于哪种肤质呢？
A. 混油皮
B. 混干皮
C. 中性皮
D. 敏感皮
答案："
常识,下列哪一款粉底液有“油皮亲妈”之称？,C,"以下是单项选择题，请选出其中的正确答案。

下列哪一款粉底液有“油皮亲妈”之称？
A. Bobbibrown虫草粉底液
B. YSL逆龄粉底液
C. 雅诗兰黛DW粉底液
D. 兰蔻菁纯粉底液
答案："
常识,下列哪一种食物没有出过美妆联名？,A,"以下是单项选择题，请选出其中的正确答案。

下列哪一种食物没有出过美妆联名？
A. 康师傅
B. 周黑鸭
C. 火鸡面
D. 王老吉
答案："
常识,江湖人称“斩男色”的口红是哪支？！,C,"以下是单项选择题，请选出其中的正确答案。

江湖人称“斩男色”的口红是哪支？！
A. 阿玛尼#515
B. EL#333
C. YSL#12
D. 香奈儿#62
答案："
常识,以下哪个名称不是面膜？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个名称不是面膜？
A. 鸡饲料
B. 前男友
C. 钢铁侠
D. 五花肉
答案："
常识,以下哪个不是药妆品牌？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是药妆品牌？
A. 薇姿
B. 美宝莲
C. 理肤泉
D. 修丽可
答案："
常识,以下哪个不是赫莲娜的代表产品？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是赫莲娜的代表产品？
A. 绿宝瓶
B. 黑绷带
C. 小针管
D. 小金瓶
答案："
常识,以下哪个是美妆品牌CPB的昵称？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个是美妆品牌CPB的昵称？
A. 腊梅
B. 法兰西一枝花
C. 小剪刀
D. 杨树林
答案："
常识,以下哪个品牌不是德系车？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个品牌不是德系车？
A. 奔驰
B. 奥迪
C. 大众
D. 福特
答案："
常识,以下哪个不是国产汽车品牌？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是国产汽车品牌？
A. 阿维塔
B. 极越
C. 飞行家
D. 缤瑞cool
答案："
常识,以下哪个不是高端美妆品牌？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是高端美妆品牌？
A. 娇韵诗
B. SK-II
C. 兰蔻
D. 百雀羚
答案："
常识,以下哪个型号的手机是不存在的？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个型号的手机是不存在的？
A. OPPO Find X9
B. Realme GT neo 3
C. vivo S15e
D. 华为Mate 30 Pro
答案："
常识,以下哪个不是SK-II小灯泡主打的概念？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是SK-II小灯泡主打的概念？
A. 烟酰胺
B. 去皱纹
C. 淡斑
D. 美白
答案："
常识,以下哪个不是咖啡品牌“悠诗诗”的别称？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是咖啡品牌“悠诗诗”的别称？
A. 优希西
B. 优诗诗
C. 优cc
D. ucc
答案："
常识,微博博主“使徒子”是哪个领域的网红,B,"以下是单项选择题，请选出其中的正确答案。

微博博主“使徒子”是哪个领域的网红
A. 运动
B. 动漫
C. 游戏
D. 科技
答案："
常识,以下明星谁没有和吴京合作过,C,"以下是单项选择题，请选出其中的正确答案。

以下明星谁没有和吴京合作过
A. 吴孟达
B. 杰森·斯坦森
C. 雷叶金
D. 洪金宝
答案："
常识,以下哪款口味没有出现在luckin的咖啡中,A,"以下是单项选择题，请选出其中的正确答案。

以下哪款口味没有出现在luckin的咖啡中
A. 米乳
B. 黑凤梨
C. 酱香
D. 碧螺春
答案："
常识,以下哪个不是汽车问界M5主打的卖点,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是汽车问界M5主打的卖点
A. 省电
B. 空间
C. 加速
D. 里程
答案："
常识,以下美妆成分哪种不是同一品牌的主打,D,"以下是单项选择题，请选出其中的正确答案。

以下美妆成分哪种不是同一品牌的主打
A. 黑松露
B. 二裂酵母
C. 红石榴
D. 姜黄
答案："
常识,小米手机max2的可视角度是？,A,"以下是单项选择题，请选出其中的正确答案。

小米手机max2的可视角度是？
A. 30°-40°
B. 40°-60°
C. 60°-80°
D. 80°-120°
答案："
常识,以下哪个是CPU有两大供应商之一？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个是CPU有两大供应商之一？
A. AMD
B. NVIDIA
C. Lenovo
D. Dell
答案："
常识,以下手机品牌中，男性用户占比多的是哪一个？,A,"以下是单项选择题，请选出其中的正确答案。

以下手机品牌中，男性用户占比多的是哪一个？
A. 小米
B. 苹果
C. OPPO
D. VIVO
答案："
常识,以生产智能电视而闻名的中国品牌是？,C,"以下是单项选择题，请选出其中的正确答案。

以生产智能电视而闻名的中国品牌是？
A. 联想
B. 乐视
C. 创维
D. 小米
答案："
常识,以下哪个不是德国汽车制造商推出的电动车型？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是德国汽车制造商推出的电动车型？
A. 宝马i4
B. 奥迪Q4 e-tron
C. 大众ID. Buzz
D. 保时捷 911 Turbo S
答案："
常识,下列哪个品牌是中国本土的健康食品品牌？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪个品牌是中国本土的健康食品品牌？
A. 雀巢
B. 华海蓝
C. 茅台
D. 汤臣倍健
答案："
常识,以下哪个型号是中国华为首款折叠屏手机？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个型号是中国华为首款折叠屏手机？
A. 华为Mate X
B. 华为Mate 30
C. 华为P40
D. 华为Nova 7
答案："
常识,关于3C产品，以下哪个品牌的旗舰手机不支持5G网络？,C,"以下是单项选择题，请选出其中的正确答案。

关于3C产品，以下哪个品牌的旗舰手机不支持5G网络？
A. 苹果
B. 小米
C. 华为
D. 三星
答案："
常识,关于中国市场汽车销量，以下哪个品牌2022年销量最高？,C,"以下是单项选择题，请选出其中的正确答案。

关于中国市场汽车销量，以下哪个品牌2022年销量最高？
A. 上海大众
B. 宝马
C. 吉利汽车
D. 奇瑞汽车
答案："
常识,以下哪个品牌的车型搭载了"天籁智行Pro 2.0"这款智能驾驶系统？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个品牌的车型搭载了""天籁智行Pro 2.0""这款智能驾驶系统？
A. 纳智捷
B. 东风日产
C. 众泰汽车
D. 长安汽车
答案："
常识,以下哪款品牌没有被周冬雨代言过？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪款品牌没有被周冬雨代言过？
A. 雅诗兰黛
B. 兰蔻
C. 巴宝莉
D. 香奈儿
答案："
常识,在最新发布的中国汽车市场销售排行榜中，以下哪款国产汽车品牌的年销量达到了30万辆？,B,"以下是单项选择题，请选出其中的正确答案。

在最新发布的中国汽车市场销售排行榜中，以下哪款国产汽车品牌的年销量达到了30万辆？
A. 吉利帝豪
B. 比亚迪秦
C. 荣威RX5
D. 哈弗H6
答案："
常识,以下哪款车是吉利汽车2019年上市的新车型？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪款车是吉利汽车2019年上市的新车型？
A. 博瑞GE
B. 帝豪GL
C. 远景X3
D. 星越
答案："
常识,自主品牌之中，哪款车型被誉为"中国版保时捷"？,B,"以下是单项选择题，请选出其中的正确答案。

自主品牌之中，哪款车型被誉为""中国版保时捷""？
A. 吉利博越
B. 众泰SR9
C. 比亚迪汉EV
D. 蔚来ES8
答案："
常识,以下哪个城市的新能源汽车销量在中国名列前茅？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个城市的新能源汽车销量在中国名列前茅？
A. 北京
B. 上海
C. 深圳
D. 杭州
答案："
常识,下列哪款汽车是特斯拉在中国最畅销的型号？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪款汽车是特斯拉在中国最畅销的型号？
A. 特斯拉Model S
B. 特斯拉Model X
C. 特斯拉Model 3
D. 特斯拉Model Y
答案："
常识,以下哪个车型不属于中国的汽车品牌宝骏?,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个车型不属于中国的汽车品牌宝骏?
A. 宝骏510
B. 宝骏560
C. 宝骏610
D. 宝骏720
答案："
常识,以下哪款手机是荣耀推出的首款全面屏手机？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪款手机是荣耀推出的首款全面屏手机？
A. 荣耀9
B. 荣耀V10
C. 荣耀10
D. 荣耀畅玩7X
答案："
常识,以下哪个汽车品牌在中国推出了首款全电动车型“逸动EV”？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个汽车品牌在中国推出了首款全电动车型“逸动EV”？
A. 奇瑞
B. 长安
C. 吉利
D. 比亚迪
答案："
常识,以下哪种食品属于低聚果糖在其中含量较高的？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪种食品属于低聚果糖在其中含量较高的？
A. 红薯
B. 香蕉
C. 苹果
D. 橘子
答案："
常识,以下哪个是属于中科院蓝光施研庭颜所推出的产品？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个是属于中科院蓝光施研庭颜所推出的产品？
A. 保湿晚霜
B. 香水
C. 香油
D. 孕妇奶粉
答案："
常识,以下哪个是中国最大的国有石油化工公司？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个是中国最大的国有石油化工公司？
A. 中石油
B. 中石化
C. 中国海洋石油总公司
D. 长江能源
答案："
